ID,Strain,Sex,Ordered,DOB,EXP,EAE Protocol,Age at D0,Classical CDS,AR CDS,Global CDS
3755,CC044,M,UNC,4/11/2021,X134,"1X MOG, D0 PTX",9.43,5,0,0.0
3756,CC044,M,UNC,4/11/2021,X134,"1X MOG, D0 PTX",9.43,0,0,3.0
3850,CC046,F,UNC,7/29/2021,X157,"1X MOG, D0 PTX",11.00,18,2,20.0
3851,CC046,F,UNC,8/3/2021,X157,"1X MOG, D0 PTX",10.29,16,0,16.0
3852,CC046,F,UNC,8/3/2021,X157,"1X MOG, D0 PTX",10.29,7,0,7.0
3853,CC046,F,UNC,8/5/2021,X157,"1X MOG, D0 PTX",10.00,0,0,0.0
3854,CC046,F,UNC,8/5/2021,X157,"1X MOG, D0 PTX",10.00,5,0,5.0
3855,CC046,M,UNC,7/29/2021,X157,"1X MOG, D0 PTX",11.00,74,0,74.0
3856,CC046,M,UNC,8/1/2021,X157,"1X MOG, D0 PTX",10.57,110,0,110.0
3857,CC046,M,UNC,8/1/2021,X157,"1X MOG, D0 PTX",10.57,180,0,180.0
3858,CC046,M,UNC,8/5/2021,X157,"1X MOG, D0 PTX",10.00,76,0,76.0
3859,CC046,M,UNC,8/5/2021,X157,"1X MOG, D0 PTX",10.00,83,0,83.0
3478,CC051,F,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,37,0,37.0
3479,CC051,F,UNC,1/6/2021,X126,"1X MOG, D0 PTX",11.29,0,0,0.0
3480,CC051,F,UNC,1/6/2021,X126,"1X MOG, D0 PTX",11.29,0,0,0.0
3481,CC051,F,UNC,1/6/2021,X126,"1X MOG, D0 PTX",11.29,22,0,22.0
3482,CC051,F,UNC,1/6/2021,X126,"1X MOG, D0 PTX",11.29,3,0,3.0
3483,CC051,M,UNC,1/4/2021,X126,"1X MOG, D0 PTX",11.57,23,0,23.0
3484,CC051,M,UNC,1/4/2021,X126,"1X MOG, D0 PTX",11.57,19,0,19.0
3485,CC051,M,UNC,1/4/2021,X126,"1X MOG, D0 PTX",11.57,125,3,128.0
3486,CC051,M,UNC,1/4/2021,X126,"1X MOG, D0 PTX",11.57,9,0,9.0
3487,CC051,M,UNC,1/4/2021,X126,"1X MOG, D0 PTX",11.57,78,5,80.5
3534,CC059,F,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,22,0,22.0
3535,CC059,F,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,39,0,39.0
3536,CC059,F,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,35,0,35.0
3537,CC059,F,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,87,7,94.0
3538,CC059,F,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,40,0,40.0
3539,CC059,M,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,73,0,73.0
3540,CC059,M,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,53,0,53.0
3541,CC059,M,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,1,0,1.0
3542,CC059,M,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,6,2,8.0
3543,CC059,M,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,43,0,43.0
3757,CC061,F,UNC,4/3/2021,X134,"1X MOG, D0 PTX",10.57,17,12,29.0
3758,CC061,F,UNC,4/8/2021,X134,"1X MOG, D0 PTX",9.86,0,37,37.0
3488,CC061 ,F,UNC,1/3/2021,X126,"1X MOG, D0 PTX",11.71,73,0,73.0
3489,CC061 ,F,UNC,1/3/2021,X126,"1X MOG, D0 PTX",11.71,11,0,11.0
3490,CC061 ,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,65,0,65.0
3491,CC061 ,M,UNC,1/3/2021,X126,"1X MOG, D0 PTX",11.71,12,0,12.0
3492,CC061 ,M,UNC,1/3/2021,X126,"1X MOG, D0 PTX",11.71,1,9,10.0
3493,CC061 ,M,UNC,1/4/2021,X126,"1X MOG, D0 PTX",11.57,55,0,55.0
3494,CC061 ,M,UNC,1/4/2021,X126,"1X MOG, D0 PTX",11.57,3,2,3.0
3833,CC061,M,UNC,7/29/2021,X157,"1X MOG, D0 PTX",11.00,45,99,94.0
3834,CC061,M,UNC,7/29/2021,X157,"1X MOG, D0 PTX",11.00,86,77,96.0
3759,CC068,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,7,0,7.0
3760,CC068,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,7,0,7.0
3761,CC068,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,19,0,19.0
3762,CC068,F,UNC,3/30/2021,X134,"1X MOG, D0 PTX",11.14,0,0,0.0
3763,CC068,F,UNC,3/30/2021,X134,"1X MOG, D0 PTX",11.14,0,0,0.0
3764,CC068,M,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,8,0,8.0
3544,CC068 ,M,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,10,0,10.0
3545,CC068 ,M,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,4,0,4.0
3546,CC068 ,M,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,3,0,3.0
3835,CC072,F,UNC,7/13/2021,X157,"1X MOG, D0 PTX",13.29,0,95,95.0
3836,CC072,F,UNC,7/13/2021,X157,"1X MOG, D0 PTX",13.29,0,0,0.0
3837,CC072,F,UNC,7/13/2021,X157,"1X MOG, D0 PTX",13.29,0,0,0.0
3838,CC072,F,UNC,7/14/2021,X157,"1X MOG, D0 PTX",13.14,0,34,34.0
3839,CC072,F,UNC,7/14/2021,X157,"1X MOG, D0 PTX",13.14,0,67,67.0
3547,CC072,M,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,0,0,0.0
3548,CC072,M,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,0,0,0.0
3765,CC072,M,UNC,4/1/2021,X134,"1X MOG, D0 PTX",10.86,0,0,0.0
3766,CC072,M,UNC,4/1/2021,X134,"1X MOG, D0 PTX",10.86,0,0,0.0
3767,CC072,M,UNC,4/1/2021,X134,"1X MOG, D0 PTX",10.86,0,0,0.0
3768,CC074,F,UNC,4/12/2021,X134,"1X MOG, D0 PTX",10.86,8,0,8.0
3769,CC074,F,UNC,4/12/2021,X134,"1X MOG, D0 PTX",9.29,0,0,0.0
3770,CC074,F,UNC,4/15/2021,X134,"1X MOG, D0 PTX",9.29,71,0,71.0
3495,CC074 ,F,UNC,12/31/2020,X126,"1X MOG, D0 PTX",12.14,10,0,10.0
3497,CC074 ,F,UNC,1/1/2021,X126,"1X MOG, D0 PTX",12.00,1,0,1.0
3498,CC074 ,M,UNC,12/27/2020,X126,"1X MOG, D0 PTX",12.71,4,6,10.0
3499,CC074 ,M,UNC,1/1/2021,X126,"1X MOG, D0 PTX",12.00,32,0,32.0
3500,CC074 ,M,UNC,1/1/2021,X126,"1X MOG, D0 PTX",12.00,15,0,19.0
3771,CC074,M,UNC,4/12/2021,X134,"1X MOG, D0 PTX",8.86,19,0,68.0
3772,CC074,M,UNC,4/12/2021,X134,"1X MOG, D0 PTX",9.29,68,0,15.0
3549,CC075 ,F,UNC,12/29/2020,X126,"1X MOG, D0 PTX",12.43,1,0,1.0
3550,CC075 ,F,UNC,12/29/2020,X126,"1X MOG, D0 PTX",12.43,186,0,186.0
3551,CC075 ,F,UNC,12/29/2020,X126,"1X MOG, D0 PTX",12.43,0,0,0.0
3552,CC075 ,F,UNC,12/29/2020,X126,"1X MOG, D0 PTX",12.43,84,34,90.5
3553,CC075 ,F,UNC,12/31/2020,X126,"1X MOG, D0 PTX",12.14,32,60,71.5
3773,CC075,M,UNC,4/3/2021,X134,"1X MOG, D0 PTX",9.29,0,0,0.0
3774,CC075,M,UNC,4/3/2021,X134,"1X MOG, D0 PTX",10.57,56,83,74.5
3775,CC075,M,UNC,4/3/2021,X134,"1X MOG, D0 PTX",10.57,89,0,89.0
3776,CC075,M,UNC,4/10/2021,X134,"1X MOG, D0 PTX",10.57,101,0,101.0
3777,CC075,M,UNC,4/10/2021,X134,"1X MOG, D0 PTX",9.57,2,0,2.0
3338,CC083 ,F,UNC,1/7/2021,X126,"1X MOG, D0 PTX",11.14,0,9,9.0
3339,CC083 ,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,82,0,82.0
3340,CC083 ,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,0,145,145.0
3341,CC083 ,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,36,0,36.0
3342,CC083 ,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,138,0,138.0
3343,CC083 ,M,UNC,1/3/2021,X126,"1X MOG, D0 PTX",11.71,67,0,67.0
3344,CC083 ,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,1,76,77.0
3345,CC083 ,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,16,0,16.0
3346,CC083 ,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,45,0,45.0
3347,CC083 ,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,0,93,93.0
3840,CC084,F,UNC,7/22/2021,X157,"1X MOG, D0 PTX",12.00,73,8,78.5
3841,CC084,F,UNC,7/22/2021,X157,"1X MOG, D0 PTX",12.00,81,125,107.5
3842,CC084,F,UNC,7/23/2021,X157,"1X MOG, D0 PTX",11.86,69,133,123.0
3843,CC084,F,UNC,7/30/2021,X157,"1X MOG, D0 PTX",10.86,31,46,64.0
3844,CC084,F,UNC,7/30/2021,X157,"1X MOG, D0 PTX",10.86,11,0,11.0
3845,CC084,M,UNC,7/22/2021,X157,"1X MOG, D0 PTX",12.00,79,5,81.0
3846,CC084,M,UNC,7/22/2021,X157,"1X MOG, D0 PTX",12.00,76,8,79.0
3847,CC084,M,UNC,7/22/2021,X157,"1X MOG, D0 PTX",12.00,72,104,101.0
3848,CC084,M,UNC,7/23/2021,X157,"1X MOG, D0 PTX",11.86,57,12,60.5
3849,CC084,M,UNC,7/23/2021,X157,"1X MOG, D0 PTX",11.86,82,0,82.0
